number,trial_index,operand,spike_time_s,raster_row
7,0,1,0.02,333
7,0,1,0.133,333
7,0,1,0.266,333
7,0,1,0.839,333
7,0,1,0.849,333
7,0,1,0.936,333
7,0,1,0.938,333
8,0,2,0.089,398
8,0,2,0.099,398
8,0,2,0.186,398
8,0,2,0.188,398
8,0,2,0.447,398
8,0,2,0.745,398
8,0,2,0.768,398
7,1,1,0.087,334
7,1,1,0.273,334
7,1,1,0.424,334
7,1,1,0.463,334
7,1,1,0.647,334
7,1,1,0.797,334
4,1,2,0.047,172
4,1,2,0.272,172
4,1,2,0.279,172
4,1,2,0.324,172
4,1,2,0.42,172
4,1,2,0.627,172
4,1,2,0.694,172
4,1,2,0.712,172
7,2,1,0.05,335
7,2,1,0.056,335
7,2,1,0.059,335
7,2,1,0.074,335
7,2,1,0.634,335
7,2,1,0.655,335
7,2,1,0.728,335
6,2,2,0.266,285
6,2,2,0.282,285
6,2,2,0.355,285
6,2,2,0.489,285
6,2,2,0.498,285
6,2,2,0.841,285
5,3,2,0.173,234
5,3,2,0.302,234
5,3,2,0.715,234
5,3,2,0.783,234
5,3,2,0.993,234
8,4,1,0.039,399
8,4,1,0.263,399
8,4,1,0.614,399
8,4,1,0.668,399
8,4,1,0.912,399
4,5,1,0.199,173
4,5,1,0.513,173
4,5,1,0.802,173
4,5,2,0.052,174
4,5,2,0.318,174
4,5,2,0.344,174
4,5,2,0.387,174
4,5,2,0.414,174
4,5,2,0.481,174
4,5,2,0.494,174
4,5,2,0.537,174
4,5,2,0.61,174
2,6,2,0.083,53
2,6,2,0.162,53
2,6,2,0.261,53
2,6,2,0.402,53
2,6,2,0.553,53
2,6,2,0.619,53
2,6,2,0.693,53
2,6,2,0.906,53
2,6,2,0.938,53
7,7,1,0.005,336
7,7,1,0.141,336
7,7,1,0.166,336
7,7,1,0.299,336
7,7,1,0.371,336
7,7,1,0.988,336
3,7,2,0.238,120
3,7,2,0.482,120
3,7,2,0.596,120
3,7,2,0.827,120
3,7,2,0.849,120
3,7,2,0.872,120
3,7,2,0.995,120
3,8,1,0.11,121
3,8,1,0.22,121
3,8,1,0.31,121
3,8,1,0.396,121
3,8,1,0.451,121
3,8,1,0.604,121
3,8,1,0.731,121
3,8,1,0.776,121
3,8,1,0.779,121
3,8,1,0.885,121
2,8,2,0.026,54
2,8,2,0.029,54
2,8,2,0.135,54
2,8,2,0.358,54
2,8,2,0.546,54
2,8,2,0.667,54
2,8,2,0.846,54
2,8,2,0.848,54
2,8,2,0.851,54
2,8,2,0.86,54
4,9,1,0.163,175
4,9,1,0.387,175
4,9,1,0.43,175
4,9,1,0.518,175
4,9,1,0.623,175
4,9,1,0.683,175
4,9,1,0.795,175
4,9,1,0.858,175
4,9,2,0.062,176
4,9,2,0.125,176
4,9,2,0.309,176
4,9,2,0.553,176
6,10,1,0.034,286
6,10,1,0.039,286
6,10,1,0.042,286
6,10,1,0.289,286
6,10,1,0.389,286
6,10,1,0.396,286
6,10,1,0.494,286
6,10,1,0.94,286
6,10,1,0.949,286
4,10,2,0.19,177
4,10,2,0.199,177
4,10,2,0.569,177
4,10,2,0.574,177
4,10,2,0.682,177
7,11,1,0.081,337
7,11,1,0.368,337
7,11,1,0.827,337
7,11,1,0.835,337
7,11,1,0.856,337
7,11,1,0.991,337
3,11,2,0.077,122
3,11,2,0.085,122
3,11,2,0.106,122
3,11,2,0.241,122
3,11,2,0.611,122
7,12,2,0.024,338
7,12,2,0.308,338
7,12,2,0.717,338
7,12,2,0.787,338
7,12,2,0.892,338
7,12,2,0.893,338
7,13,1,0.118,339
7,13,1,0.386,339
7,13,1,0.488,339
7,13,1,0.553,339
7,13,1,0.614,339
7,13,1,0.868,339
7,13,1,0.87,339
7,13,1,0.899,339
8,14,2,0.061,400
8,14,2,0.088,400
8,14,2,0.108,400
8,14,2,0.492,400
8,14,2,0.614,400
8,14,2,0.768,400
8,14,2,0.825,400
8,14,2,0.864,400
9,15,1,0.071,447
9,15,1,0.685,447
9,15,1,0.699,447
9,15,1,0.768,447
9,15,1,0.85,447
7,15,2,0.018,340
7,15,2,0.1,340
7,15,2,0.278,340
7,15,2,0.416,340
7,15,2,0.494,340
7,15,2,0.543,340
7,15,2,0.611,340
7,15,2,0.797,340
7,16,1,0.035,341
7,16,1,0.059,341
7,16,1,0.2,341
7,16,1,0.222,341
7,16,1,0.227,341
7,16,1,0.446,341
7,16,1,0.449,341
7,16,1,0.628,341
7,16,1,0.746,341
7,16,1,0.934,341
7,16,1,0.997,341
7,17,2,0.115,342
7,17,2,0.208,342
7,17,2,0.656,342
7,17,2,0.66,342
7,17,2,0.663,342
7,17,2,0.798,342
7,17,2,0.852,342
7,17,2,0.918,342
7,17,2,0.92,342
1,18,1,0.112,0
1,18,1,0.481,0
1,18,1,0.933,0
1,18,1,0.964,0
8,18,2,0.183,401
8,18,2,0.214,401
8,18,2,0.301,401
8,18,2,0.484,401
8,18,2,0.572,401
8,18,2,0.974,401
3,19,1,0.081,123
3,19,1,0.192,123
3,19,1,0.232,123
3,19,1,0.47,123
3,19,1,0.489,123
3,19,1,0.531,123
3,19,1,0.684,123
3,19,1,0.7,123
7,19,2,0.469,343
7,19,2,0.493,343
3,20,1,0.058,124
3,20,1,0.092,124
3,20,1,0.342,124
3,20,1,0.402,124
3,20,1,0.448,124
3,20,1,0.534,124
3,20,1,0.602,124
3,20,1,0.639,124
3,20,1,0.767,124
3,20,1,0.924,124
3,20,1,0.943,124
5,20,2,0.017,235
5,20,2,0.174,235
5,20,2,0.193,235
5,20,2,0.296,235
5,20,2,0.299,235
5,20,2,0.309,235
5,20,2,0.338,235
5,20,2,0.51,235
5,20,2,0.728,235
7,21,1,0.115,344
7,21,1,0.232,344
7,21,1,0.494,344
7,21,1,0.567,344
7,21,1,0.569,344
7,21,1,0.682,344
4,22,1,0.098,178
4,22,1,0.272,178
4,22,1,0.36,178
4,22,1,0.438,178
4,22,1,0.749,178
4,22,1,0.808,178
7,22,2,0.058,345
7,22,2,0.289,345
7,22,2,0.302,345
7,22,2,0.551,345
7,22,2,0.555,345
7,22,2,0.766,345
7,22,2,0.775,345
7,22,2,0.805,345
7,22,2,0.834,345
7,22,2,0.852,345
5,23,1,0.097,236
5,23,1,0.228,236
5,23,1,0.36,236
5,23,1,0.53,236
5,23,1,0.785,236
5,23,1,0.991,236
2,23,2,0.035,55
2,23,2,0.241,55
2,23,2,0.323,55
2,23,2,0.342,55
2,23,2,0.399,55
2,23,2,0.547,55
2,23,2,0.757,55
2,23,2,0.884,55
6,25,1,0.15,287
6,25,1,0.308,287
6,25,1,0.466,287
6,25,1,0.541,287
6,25,1,0.886,287
9,25,2,0.136,448
9,25,2,0.49,448
9,25,2,0.811,448
7,26,1,0.202,346
7,26,1,0.296,346
7,26,1,0.422,346
7,26,1,0.651,346
7,26,1,0.674,346
7,26,1,0.879,346
7,26,1,0.935,346
7,26,1,0.937,346
7,26,1,0.985,346
3,26,2,0.129,125
3,26,2,0.185,125
3,26,2,0.187,125
3,26,2,0.235,125
3,26,2,0.514,125
3,26,2,0.883,125
2,27,1,0.171,56
2,27,1,0.22,56
2,27,1,0.432,56
2,27,1,0.879,56
2,27,1,0.976,56
6,27,2,0.129,288
6,27,2,0.226,288
6,27,2,0.444,288
6,27,2,0.607,288
6,27,2,0.647,288
6,27,2,0.789,288
9,28,2,0.015,449
9,28,2,0.045,449
9,28,2,0.271,449
9,28,2,0.328,449
9,28,2,0.338,449
9,28,2,0.369,449
9,28,2,0.389,449
9,28,2,0.503,449
9,28,2,0.51,449
9,28,2,0.571,449
9,28,2,0.801,449
9,28,2,0.887,449
6,29,2,0.307,289
6,29,2,0.459,289
6,29,2,0.588,289
6,29,2,0.631,289
6,29,2,0.747,289
6,29,2,0.824,289
6,29,2,0.904,289
6,30,1,0.311,290
6,30,1,0.355,290
6,30,1,0.376,290
6,30,1,0.434,290
6,30,1,0.622,290
6,30,1,0.946,290
6,30,1,0.992,290
3,30,2,0.196,126
3,30,2,0.242,126
3,30,2,0.53,126
3,30,2,0.545,126
3,30,2,0.985,126
9,31,1,0.08,450
9,31,1,0.19,450
9,31,1,0.638,450
9,31,1,0.648,450
9,31,1,0.714,450
9,31,1,0.716,450
4,32,1,0.284,179
4,32,1,0.362,179
4,32,1,0.491,179
4,32,1,0.545,179
5,32,2,0.626,237
5,32,2,0.839,237
5,32,2,0.99,237
5,33,1,0.023,238
5,33,1,0.733,238
5,33,1,0.787,238
5,33,1,0.838,238
5,33,1,0.924,238
1,33,2,0.037,1
1,33,2,0.088,1
1,33,2,0.174,1
1,33,2,0.327,1
1,33,2,0.344,1
1,33,2,0.347,1
1,33,2,0.466,1
1,33,2,0.509,1
1,33,2,0.878,1
2,34,2,0.05,57
2,34,2,0.316,57
2,34,2,0.464,57
2,34,2,0.465,57
2,34,2,0.512,57
2,34,2,0.528,57
2,34,2,0.794,57
2,34,2,0.834,57
7,35,1,0.522,347
7,35,1,0.639,347
7,35,1,0.705,347
3,35,2,0.713,127
6,36,1,0.04,291
6,36,1,0.299,291
6,36,1,0.468,291
6,36,1,0.508,291
6,36,1,0.638,291
6,36,1,0.919,291
3,36,2,0.169,128
3,36,2,0.287,128
3,36,2,0.721,128
3,36,2,0.759,128
3,36,2,0.994,128
3,37,2,0.649,129
3,37,2,0.933,129
2,38,1,0.004,58
2,38,1,0.064,58
2,38,1,0.117,58
2,38,1,0.216,58
2,38,1,0.287,58
2,38,1,0.317,58
2,38,1,0.359,58
2,38,1,0.598,58
2,38,1,0.64,58
2,38,1,0.642,58
2,38,1,0.704,58
2,38,1,0.924,58
2,38,1,0.957,58
4,38,2,0.174,180
4,38,2,0.207,180
4,38,2,0.55,180
4,38,2,0.563,180
4,38,2,0.628,180
4,38,2,0.726,180
4,38,2,0.814,180
4,38,2,0.98,180
3,39,1,0.153,130
3,39,1,0.321,130
3,39,1,0.638,130
3,39,1,0.689,130
3,39,1,0.828,130
3,39,1,0.927,130
5,40,1,0.213,239
5,40,1,0.238,239
5,40,1,0.655,239
5,40,1,0.834,239
5,40,1,0.861,239
5,40,1,0.933,239
8,40,2,0.084,402
8,40,2,0.111,402
8,40,2,0.183,402
8,40,2,0.254,402
8,40,2,0.302,402
8,40,2,0.371,402
8,40,2,0.472,402
8,40,2,0.607,402
8,40,2,0.786,402
8,40,2,0.945,402
9,41,2,0.006,451
9,41,2,0.015,451
9,41,2,0.017,451
9,41,2,0.103,451
9,41,2,0.188,451
9,41,2,0.214,451
9,41,2,0.235,451
9,41,2,0.241,451
9,41,2,0.271,451
9,41,2,0.46,451
9,41,2,0.505,451
9,41,2,0.584,451
9,41,2,0.684,451
8,42,1,0.246,403
8,42,1,0.488,403
8,42,1,0.814,403
9,42,2,0.064,452
9,42,2,0.415,452
9,42,2,0.492,452
9,42,2,0.853,452
9,42,2,0.87,452
6,43,1,0.037,292
6,43,1,0.206,292
6,43,1,0.383,292
6,43,1,0.418,292
6,43,1,0.446,292
6,43,1,0.499,292
6,43,1,0.546,292
6,43,1,0.589,292
6,43,1,0.674,292
6,43,1,0.68,292
6,43,1,0.806,292
6,43,1,0.824,292
5,43,2,0.056,240
5,43,2,0.074,240
5,43,2,0.479,240
5,43,2,0.618,240
3,44,1,0.331,131
3,44,1,0.888,131
3,44,1,0.931,131
2,44,2,0.138,59
2,44,2,0.181,59
2,44,2,0.52,59
2,44,2,0.588,59
2,44,2,0.655,59
2,44,2,0.69,59
2,44,2,0.725,59
2,44,2,0.787,59
2,44,2,0.912,59
8,45,1,0.049,404
8,45,1,0.11,404
8,45,1,0.225,404
8,45,1,0.277,404
8,45,1,0.357,404
8,45,1,0.442,404
8,45,1,0.801,404
8,45,1,0.912,404
2,46,1,0.057,60
2,46,1,0.174,60
2,46,1,0.192,60
2,46,1,0.363,60
2,46,1,0.411,60
2,46,1,0.461,60
2,46,1,0.557,60
2,46,1,0.595,60
2,46,1,0.702,60
2,46,1,0.932,60
2,46,1,0.946,60
2,46,1,0.985,60
3,46,2,0.182,132
3,46,2,0.196,132
3,46,2,0.235,132
3,46,2,0.47,132
3,46,2,0.737,132
3,46,2,0.89,132
3,46,2,0.892,132
3,46,2,0.991,132
2,47,1,0.291,61
2,47,1,0.331,61
2,47,1,0.413,61
2,47,1,0.422,61
2,47,1,0.437,61
2,47,1,0.626,61
2,47,1,0.955,61
5,47,2,0.205,241
5,47,2,0.311,241
5,47,2,0.315,241
5,47,2,0.43,241
5,47,2,0.459,241
5,47,2,0.577,241
5,47,2,0.697,241
5,47,2,0.725,241
5,47,2,0.811,241
5,47,2,0.814,241
5,47,2,0.991,241
2,48,1,0.041,62
2,48,1,0.061,62
2,48,1,0.125,62
2,48,1,0.492,62
2,48,1,0.58,62
1,48,2,0.536,2
1,48,2,0.608,2
1,48,2,0.68,2
1,48,2,0.856,2
1,48,2,0.886,2
5,49,1,0.036,242
5,49,1,0.183,242
5,49,1,0.292,242
5,49,1,0.339,242
5,49,1,0.444,242
5,49,1,0.472,242
5,49,1,0.628,242
5,49,1,0.637,242
5,49,1,0.918,242
2,49,2,0.168,63
2,49,2,0.295,63
2,49,2,0.33,63
2,49,2,0.358,63
2,49,2,0.407,63
2,49,2,0.476,63
2,49,2,0.571,63
2,49,2,0.578,63
2,49,2,0.69,63
2,49,2,0.764,63
2,50,1,0.186,64
2,50,1,0.212,64
2,50,1,0.325,64
2,50,1,0.5,64
2,50,1,0.511,64
2,50,1,0.616,64
2,50,1,0.623,64
2,50,1,0.651,64
2,50,1,0.793,64
2,50,1,0.853,64
2,50,1,0.925,64
7,51,1,0.42,348
7,51,1,0.589,348
7,51,1,0.605,348
7,51,1,0.762,348
7,51,1,0.796,348
7,51,1,0.815,348
7,51,1,0.829,348
7,51,1,0.872,348
7,51,1,0.925,348
7,51,1,0.934,348
7,51,2,0.012,349
7,51,2,0.046,349
7,51,2,0.065,349
7,51,2,0.079,349
7,51,2,0.122,349
7,51,2,0.175,349
7,51,2,0.184,349
7,51,2,0.515,349
7,51,2,0.67,349
7,51,2,0.699,349
7,51,2,0.729,349
7,51,2,0.733,349
7,51,2,0.773,349
4,52,2,0.523,181
4,52,2,0.529,181
4,52,2,0.785,181
8,53,1,0.012,405
8,53,1,0.019,405
8,53,1,0.027,405
8,53,1,0.244,405
8,53,1,0.365,405
8,53,1,0.408,405
8,53,1,0.454,405
8,53,1,0.473,405
8,53,1,0.591,405
8,53,1,0.821,405
8,53,1,0.952,405
4,53,2,0.071,182
4,53,2,0.202,182
4,53,2,0.267,182
4,53,2,0.398,182
4,53,2,0.661,182
4,53,2,0.681,182
4,53,2,0.72,182
4,53,2,0.83,182
4,53,2,0.871,182
4,53,2,0.904,182
7,54,1,0.105,350
7,54,1,0.218,350
7,54,1,0.332,350
7,54,1,0.439,350
7,54,1,0.99,350
6,54,2,0.24,293
6,54,2,0.338,293
6,54,2,0.362,293
6,54,2,0.408,293
6,54,2,0.657,293
6,54,2,0.756,293
6,54,2,0.944,293
8,55,1,0.159,406
8,55,1,0.177,406
8,55,1,0.362,406
7,55,2,0.363,351
7,55,2,0.372,351
7,55,2,0.531,351
7,55,2,0.67,351
9,56,1,0.044,453
9,56,1,0.081,453
9,56,1,0.093,453
9,56,1,0.247,453
9,56,1,0.341,453
9,56,1,0.377,453
9,56,1,0.396,453
9,56,1,0.68,453
9,56,1,0.977,453
1,56,2,0.227,3
1,56,2,0.253,3
1,56,2,0.258,3
1,56,2,0.624,3
1,56,2,0.709,3
1,56,2,0.966,3
8,57,1,0.025,407
8,57,1,0.055,407
8,57,1,0.295,407
8,57,1,0.703,407
8,57,1,0.779,407
8,57,1,0.793,407
6,58,1,0.117,294
6,58,1,0.467,294
6,58,1,0.509,294
6,58,1,0.524,294
6,58,1,0.564,294
6,58,1,0.603,294
6,58,1,0.683,294
6,58,1,0.735,294
6,58,1,0.837,294
6,58,2,0.087,295
6,58,2,0.322,295
6,58,2,0.333,295
6,58,2,0.535,295
6,58,2,0.538,295
6,58,2,0.555,295
6,58,2,0.642,295
6,58,2,0.836,295
4,59,1,0.004,183
4,59,1,0.059,183
4,59,1,0.165,183
4,59,1,0.312,183
4,59,1,0.468,183
4,59,1,0.479,183
4,59,1,0.518,183
4,59,1,0.764,183
4,59,1,0.946,183
4,59,1,0.956,183
1,60,1,0.097,4
1,60,1,0.458,4
1,60,1,0.566,4
1,60,1,0.638,4
1,60,1,0.653,4
1,60,2,0.278,5
1,60,2,0.417,5
1,60,2,0.788,5
1,60,2,0.868,5
1,60,2,0.944,5
2,61,1,0.04,65
2,61,1,0.121,65
2,61,1,0.35,65
2,61,1,0.475,65
2,61,1,0.658,65
2,61,1,0.787,65
2,61,1,0.859,65
4,61,2,0.037,184
4,61,2,0.109,184
4,61,2,0.555,184
1,62,1,0.079,6
1,62,1,0.093,6
1,62,1,0.1,6
1,62,1,0.135,6
1,62,1,0.146,6
1,62,1,0.174,6
1,62,1,0.288,6
1,62,1,0.734,6
1,62,1,0.885,6
2,62,2,0.135,66
2,62,2,0.325,66
2,62,2,0.423,66
7,63,1,0.107,352
7,63,1,0.119,352
7,63,1,0.239,352
7,63,1,0.42,352
7,63,1,0.543,352
7,63,2,0.324,353
7,63,2,0.49,353
7,63,2,0.644,353
7,63,2,0.944,353
8,64,1,0.101,408
8,64,1,0.105,408
8,64,1,0.596,408
8,64,1,0.606,408
8,64,1,0.754,408
8,64,2,0.004,409
8,64,2,0.454,409
8,64,2,0.628,409
8,64,2,0.733,409
4,65,2,0.029,185
4,65,2,0.167,185
4,65,2,0.189,185
4,65,2,0.548,185
4,65,2,0.633,185
4,65,2,0.651,185
4,65,2,0.848,185
4,65,2,0.877,185
4,65,2,0.928,185
9,66,1,0.155,454
9,66,1,0.226,454
9,66,1,0.244,454
9,66,1,0.299,454
9,66,1,0.324,454
9,66,1,0.603,454
9,66,1,0.718,454
9,66,1,0.735,454
9,66,1,0.784,454
9,66,1,0.798,454
9,66,2,0.034,455
9,66,2,0.048,455
9,66,2,0.346,455
9,66,2,0.405,455
9,66,2,0.539,455
9,66,2,0.701,455
9,66,2,0.798,455
7,67,1,0.101,354
7,67,1,0.322,354
7,67,1,0.324,354
7,67,1,0.446,354
7,67,1,0.539,354
7,67,1,0.731,354
7,67,1,0.781,354
7,67,1,0.969,354
1,67,2,0.031,7
1,67,2,0.219,7
1,67,2,0.491,7
1,67,2,0.498,7
1,67,2,0.545,7
1,67,2,0.764,7
3,68,2,0.017,133
3,68,2,0.038,133
3,68,2,0.044,133
3,68,2,0.365,133
3,68,2,0.616,133
3,68,2,0.687,133
3,68,2,0.69,133
3,68,2,0.747,133
3,68,2,0.828,133
3,68,2,0.988,133
5,69,1,0.337,243
5,69,1,0.4,243
5,69,1,0.558,243
5,69,1,0.743,243
1,70,2,0.016,8
1,70,2,0.043,8
1,70,2,0.265,8
1,70,2,0.363,8
1,70,2,0.424,8
1,70,2,0.439,8
1,70,2,0.732,8
1,70,2,0.804,8
1,70,2,0.906,8
1,70,2,0.955,8
1,70,2,0.986,8
6,71,2,0.118,296
6,71,2,0.247,296
6,71,2,0.525,296
6,71,2,0.588,296
6,71,2,0.592,296
6,71,2,0.753,296
6,71,2,0.983,296
3,72,1,0.153,134
3,72,1,0.403,134
3,72,1,0.604,134
3,72,1,0.669,134
3,72,1,0.674,134
3,72,1,0.764,134
3,72,1,0.829,134
3,72,1,0.841,134
3,72,1,0.98,134
1,72,2,0.014,9
1,72,2,0.079,9
1,72,2,0.091,9
1,72,2,0.23,9
1,72,2,0.321,9
1,72,2,0.36,9
1,72,2,0.598,9
1,72,2,0.603,9
1,72,2,0.951,9
8,74,1,0.033,410
8,74,1,0.313,410
8,74,1,0.504,410
8,74,1,0.764,410
8,74,1,0.906,410
8,74,1,0.915,410
4,75,1,0.251,186
4,75,1,0.296,186
4,75,1,0.575,186
4,75,1,0.577,186
4,75,1,0.588,186
4,75,1,0.811,186
9,75,2,0.061,456
9,75,2,0.812,456
9,75,2,0.846,456
6,76,1,0.126,297
6,76,1,0.371,297
6,76,1,0.516,297
6,76,1,0.528,297
6,76,1,0.766,297
6,76,1,0.85,297
6,76,1,0.886,297
7,76,2,0.016,355
7,76,2,0.1,355
7,76,2,0.136,355
7,76,2,0.396,355
7,76,2,0.472,355
7,76,2,0.481,355
7,76,2,0.74,355
7,76,2,0.994,355
5,77,2,0.134,244
5,77,2,0.162,244
5,77,2,0.167,244
5,77,2,0.39,244
5,77,2,0.425,244
5,77,2,0.453,244
5,77,2,0.872,244
5,77,2,0.875,244
5,77,2,0.941,244
5,77,2,0.954,244
8,78,1,0.033,411
8,78,1,0.102,411
8,78,1,0.125,411
8,78,1,0.282,411
8,78,1,0.805,411
8,78,1,0.938,411
5,78,2,0.038,245
5,78,2,0.171,245
5,78,2,0.424,245
5,78,2,0.527,245
5,78,2,0.597,245
5,78,2,0.728,245
5,78,2,0.75,245
5,78,2,0.805,245
5,78,2,0.966,245
1,79,1,0.132,10
1,79,1,0.311,10
1,79,1,0.674,10
6,79,2,0.352,298
6,79,2,0.545,298
6,79,2,0.622,298
6,79,2,0.648,298
6,79,2,0.769,298
6,79,2,0.9,298
3,80,1,0.074,135
3,80,1,0.387,135
3,80,1,0.682,135
3,80,1,0.689,135
3,80,1,0.846,135
3,80,1,0.907,135
8,80,2,0.096,412
8,80,2,0.157,412
8,80,2,0.344,412
8,80,2,0.346,412
8,80,2,0.393,412
8,80,2,0.455,412
8,80,2,0.707,412
8,80,2,0.955,412
3,81,1,0.052,136
3,81,1,0.074,136
3,81,1,0.2,136
3,81,1,0.21,136
3,81,1,0.42,136
3,81,1,0.888,136
4,81,2,0.138,187
4,81,2,0.345,187
4,81,2,0.532,187
4,81,2,0.942,187
4,81,2,0.955,187
2,82,2,0.125,67
2,82,2,0.199,67
2,82,2,0.402,67
2,82,2,0.575,67
2,82,2,0.729,67
2,82,2,0.738,67
2,82,2,0.778,67
2,82,2,0.843,67
4,83,1,0.013,188
4,83,1,0.044,188
4,83,1,0.31,188
4,83,1,0.603,188
4,83,1,0.698,188
4,83,1,0.725,188
7,83,2,0.378,356
7,83,2,0.618,356
7,83,2,0.708,356
7,83,2,0.795,356
7,83,2,0.973,356
4,84,1,0.043,189
4,84,1,0.1,189
4,84,1,0.174,189
4,84,1,0.18,189
4,84,1,0.189,189
4,84,1,0.207,189
4,84,1,0.443,189
4,84,1,0.519,189
4,84,1,0.647,189
4,84,1,0.708,189
4,84,1,0.73,189
4,84,1,0.79,189
4,84,1,0.849,189
2,84,2,0.04,68
2,84,2,0.099,68
2,84,2,0.318,68
2,84,2,0.386,68
2,84,2,0.472,68
3,85,1,0.037,137
3,85,1,0.124,137
3,85,1,0.471,137
3,85,1,0.516,137
3,85,1,0.58,137
3,85,1,0.658,137
3,85,1,0.811,137
3,85,1,0.861,137
3,85,1,0.878,137
3,85,1,0.896,137
3,85,1,0.902,137
4,85,2,0.061,190
4,85,2,0.111,190
4,85,2,0.128,190
4,85,2,0.146,190
4,85,2,0.152,190
4,85,2,0.337,190
4,85,2,0.437,190
4,85,2,0.483,190
4,85,2,0.488,190
4,85,2,0.509,190
4,85,2,0.605,190
4,85,2,0.812,190
4,85,2,0.9,190
4,86,1,0.156,191
4,86,1,0.33,191
4,86,1,0.409,191
4,86,1,0.652,191
4,86,1,0.804,191
8,86,2,0.054,413
8,86,2,0.261,413
8,86,2,0.307,413
8,86,2,0.371,413
8,86,2,0.43,413
8,86,2,0.862,413
8,86,2,0.876,413
8,86,2,0.939,413
9,87,1,0.021,457
9,87,1,0.148,457
9,87,1,0.177,457
9,87,1,0.535,457
9,87,1,0.759,457
9,87,1,0.779,457
4,87,2,0.009,192
4,87,2,0.029,192
4,87,2,0.315,192
4,87,2,0.383,192
4,87,2,0.542,192
4,87,2,0.549,192
4,87,2,0.656,192
4,87,2,0.813,192
4,87,2,0.982,192
7,88,1,0.008,357
7,88,1,0.511,357
7,88,1,0.53,357
7,88,1,0.58,357
7,88,1,0.729,357
7,88,1,0.794,357
7,88,2,0.044,358
7,88,2,0.374,358
7,88,2,0.382,358
7,88,2,0.455,358
7,88,2,0.464,358
7,88,2,0.5,358
7,88,2,0.648,358
7,88,2,0.815,358
6,89,1,0.059,299
6,89,1,0.271,299
6,89,1,0.34,299
6,89,1,0.517,299
6,89,1,0.578,299
6,89,1,0.611,299
6,89,1,0.838,299
6,89,1,0.959,299
9,89,2,0.088,458
9,89,2,0.209,458
9,89,2,0.633,458
5,90,1,0.189,246
5,90,1,0.248,246
5,90,1,0.322,246
5,90,1,0.619,246
5,90,1,0.915,246
1,90,2,0.165,11
1,90,2,0.251,11
1,90,2,0.277,11
1,90,2,0.496,11
1,90,2,0.725,11
1,90,2,0.852,11
1,90,2,0.993,11
1,91,1,0.117,12
1,91,1,0.203,12
1,91,1,0.469,12
1,91,1,0.546,12
1,91,1,0.619,12
1,91,1,0.756,12
8,91,2,0.006,414
8,91,2,0.305,414
8,91,2,0.416,414
8,91,2,0.431,414
8,91,2,0.573,414
8,91,2,0.802,414
2,92,1,0.144,69
2,92,1,0.477,69
2,92,1,0.73,69
2,92,1,0.959,69
7,93,1,0.325,359
7,93,1,0.373,359
7,93,1,0.503,359
7,93,1,0.679,359
7,93,1,0.797,359
6,94,1,0.001,300
6,94,1,0.023,300
6,94,1,0.184,300
6,94,1,0.199,300
6,94,1,0.228,300
6,94,1,0.296,300
6,94,1,0.437,300
6,94,1,0.787,300
6,94,1,0.879,300
6,94,1,0.927,300
6,94,1,0.944,300
6,94,1,0.975,300
3,94,2,0.037,138
3,94,2,0.129,138
3,94,2,0.177,138
3,94,2,0.194,138
3,94,2,0.225,138
3,94,2,0.289,138
3,94,2,0.302,138
3,94,2,0.502,138
3,94,2,0.641,138
3,94,2,0.645,138
3,94,2,0.66,138
3,94,2,0.74,138
3,94,2,0.901,138
3,94,2,0.982,138
1,95,1,0.224,13
1,95,1,0.476,13
1,95,1,0.781,13
1,95,1,0.796,13
5,95,2,0.031,247
5,95,2,0.046,247
5,95,2,0.506,247
5,95,2,0.528,247
5,95,2,0.835,247
9,96,1,0.253,459
9,96,1,0.667,459
9,96,1,0.682,459
9,96,1,0.763,459
9,96,1,0.789,459
9,96,1,0.829,459
2,96,2,0.03,70
2,96,2,0.056,70
2,96,2,0.096,70
2,96,2,0.437,70
2,96,2,0.556,70
2,96,2,0.586,70
3,97,1,0.17,139
3,97,1,0.384,139
3,97,1,0.456,139
3,97,1,0.499,139
3,97,1,0.534,139
3,97,1,0.565,139
3,97,1,0.62,139
3,97,1,0.843,139
3,97,1,0.877,139
3,97,1,0.91,139
3,97,1,0.96,139
4,97,2,0.093,193
4,97,2,0.127,193
4,97,2,0.16,193
4,97,2,0.21,193
4,97,2,0.582,193
4,97,2,0.805,193
4,97,2,0.93,193
9,98,1,0.208,460
9,98,1,0.534,460
9,98,1,0.55,460
9,98,1,0.679,460
9,98,1,0.753,460
9,98,1,0.832,460
9,98,1,0.873,460
5,98,2,0.003,248
5,98,2,0.082,248
5,98,2,0.123,248
5,98,2,0.264,248
5,98,2,0.33,248
5,98,2,0.449,248
5,98,2,0.511,248
5,98,2,0.518,248
5,98,2,0.663,248
5,98,2,0.73,248
5,98,2,0.745,248
5,98,2,0.876,248
5,98,2,0.927,248
5,98,2,0.964,248
5,98,2,0.969,248
6,99,1,0.219,301
6,99,1,0.35,301
6,99,1,0.506,301
6,99,1,0.568,301
8,99,2,0.301,415
8,99,2,0.355,415
8,99,2,0.553,415
8,99,2,0.602,415
8,99,2,0.674,415
8,99,2,0.715,415
8,99,2,0.855,415
8,99,2,0.953,415
8,99,2,0.958,415
8,100,2,0.28,416
8,100,2,0.638,416
8,100,2,0.731,416
9,101,1,0.017,461
9,101,1,0.169,461
9,101,1,0.172,461
